shapes_set,shape_id,target_set,closest_shape_id,edit_distance,readable_shape,step,classification,majority_vote
3,0,1,0,0,1111-1111-1001,13,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,14,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,15,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,16,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,17,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,18,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,19,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,20,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,21,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,22,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,23,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,24,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,25,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,26,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,27,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,28,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,29,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,30,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,31,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,32,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,33,0;0;0-3;0;0-0;1;0-1;1;1-2;1;1-3;1;0-0;2;0-1;2;1-2;2;0-3;2;0,0
3,0,1,0,0,1111-1111-1001,34,0;0;0-3;0;0-0;1;1-1;1;1-2;1;1-3;1;0-0;2;0-1;2;1-2;2;1-3;2;0,0
3,0,1,0,0,1111-1111-1001,35,0;0;0-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;0,1
3,0,1,0,0,1111-1111-1001,36,0;0;0-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,37,0;0;0-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,38,0;0;0-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,39,0;0;0-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,41,0;0;0-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,42,0;0;0-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,43,0;0;0-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,44,0;0;0-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,45,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,46,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,47,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,48,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,49,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,50,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,51,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,52,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,53,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,54,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,55,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,56,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,57,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,58,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,59,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,60,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,61,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,62,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,63,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,64,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,65,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;1-0;2;1-1;2;1-2;2;1-3;2;1,1
3,0,1,0,0,1111-1111-1001,66,0;0;1-3;0;0-0;1;1-1;1;1-2;1;1-3;1;2-0;2;1-1;2;1-2;2;1-3;2;0,1
3,0,1,0,0,1111-1111-1001,67,0;0;1-3;0;0-0;1;1-1;1;1-2;1;2-3;1;2-0;2;1-1;2;1-2;2;2-3;2;0,1
3,0,1,0,0,1111-1111-1001,68,0;0;1-3;0;0-0;1;1-1;1;1-2;1;2-3;1;2-0;2;1-1;2;1-2;2;2-3;2;0,1
3,0,1,0,0,1111-1111-1001,69,0;0;1-3;0;0-0;1;1-1;1;1-2;1;2-3;1;2-0;2;1-1;2;1-2;2;2-3;2;0,1
3,0,1,0,0,1111-1111-1001,70,0;0;1-3;0;0-0;1;1-1;1;1-2;1;2-3;1;2-0;2;1-1;2;1-2;2;2-3;2;0,1
3,0,1,0,0,1111-1111-1001,71,0;0;1-3;0;0-0;1;1-1;1;1-2;1;2-3;1;2-0;2;1-1;2;1-2;2;2-3;2;0,1
3,0,1,0,0,1111-1111-1001,72,0;0;1-3;0;0-0;1;1-1;1;1-2;1;2-3;1;0-0;2;1-1;2;1-2;2;2-3;2;0,1
3,0,1,0,0,1111-1111-1001,73,0;0;1-3;0;0-0;1;1-1;1;1-2;1;2-3;1;0-0;2;1-1;2;1-2;2;2-3;2;0,1
3,0,1,0,0,1111-1111-1001,74,0;0;1-3;0;0-0;1;1-1;1;1-2;1;2-3;1;0-0;2;1-1;2;1-2;2;2-3;2;0,1
3,0,1,0,0,1111-1111-1001,75,0;0;1-3;0;0-0;1;1-1;1;1-2;1;2-3;1;0-0;2;1-1;2;1-2;2;2-3;2;0,1
3,0,1,0,0,1111-1111-1001,76,0;0;1-3;0;0-0;1;1-1;1;1-2;1;2-3;1;0-0;2;1-1;2;2-2;2;2-3;2;0,1
3,0,1,0,0,1111-1111-1001,77,0;0;1-3;0;0-0;1;1-1;1;1-2;1;2-3;1;0-0;2;1-1;2;2-2;2;2-3;2;0,1
3,0,1,0,0,1111-1111-1001,78,0;0;1-3;0;0-0;1;1-1;1;1-2;1;2-3;1;0-0;2;1-1;2;2-2;2;2-3;2;0,1
3,0,1,0,0,1111-1111-1001,79,0;0;1-3;0;0-0;1;1-1;1;1-2;1;2-3;1;0-0;2;1-1;2;2-2;2;2-3;2;0,1
3,0,1,0,0,1111-1111-1001,80,0;0;1-3;0;0-0;1;1-1;1;2-2;1;2-3;1;0-0;2;1-1;2;2-2;2;2-3;2;0,2
3,0,1,0,0,1111-1111-1001,81,0;0;1-3;0;0-0;1;1-1;1;2-2;1;2-3;1;0-0;2;1-1;2;2-2;2;2-3;2;0,2
3,0,1,0,0,1111-1111-1001,82,0;0;1-3;0;0-0;1;1-1;1;2-2;1;0-3;1;0-0;2;1-1;2;2-2;2;2-3;2;0,0
3,0,1,0,0,1111-1111-1001,83,0;0;1-3;0;0-0;1;1-1;1;2-2;1;0-3;1;0-0;2;1-1;2;2-2;2;2-3;2;0,0
3,0,1,0,0,1111-1111-1001,84,0;0;1-3;0;0-0;1;1-1;1;2-2;1;0-3;1;0-0;2;1-1;2;2-2;2;2-3;2;0,0
3,0,1,0,0,1111-1111-1001,85,0;0;1-3;0;0-0;1;1-1;1;2-2;1;0-3;1;0-0;2;1-1;2;2-2;2;2-3;2;0,0
3,0,1,0,0,1111-1111-1001,86,0;0;1-3;0;0-0;1;1-1;1;2-2;1;0-3;1;0-0;2;1-1;2;2-2;2;2-3;2;0,0
3,0,1,0,0,1111-1111-1001,87,0;0;1-3;0;0-0;1;1-1;1;2-2;1;0-3;1;0-0;2;1-1;2;2-2;2;2-3;2;0,0
3,0,1,0,0,1111-1111-1001,88,0;0;1-3;0;0-0;1;1-1;1;2-2;1;0-3;1;0-0;2;1-1;2;2-2;2;2-3;2;0,0
3,0,1,0,0,1111-1111-1001,89,0;0;1-3;0;0-0;1;1-1;1;2-2;1;0-3;1;0-0;2;1-1;2;2-2;2;2-3;2;0,0
3,0,1,0,0,1111-1111-1001,90,0;0;1-3;0;0-0;1;1-1;1;2-2;1;0-3;1;0-0;2;1-1;2;2-2;2;2-3;2;0,0
3,0,1,0,0,1111-1111-1001,91,0;0;1-3;0;0-0;1;1-1;1;2-2;1;0-3;1;0-0;2;2-1;2;2-2;2;2-3;2;0,0
3,0,1,0,0,1111-1111-1001,92,0;0;1-3;0;0-0;1;1-1;1;2-2;1;0-3;1;0-0;2;2-1;2;2-2;2;2-3;2;0,0
3,0,1,0,0,1111-1111-1001,93,0;0;1-3;0;0-0;1;1-1;1;2-2;1;0-3;1;0-0;2;2-1;2;2-2;2;2-3;2;0,0
3,0,1,0,0,1111-1111-1001,94,0;0;1-3;0;0-0;1;1-1;1;2-2;1;0-3;1;0-0;2;2-1;2;2-2;2;2-3;2;0,0
3,0,1,0,0,1111-1111-1001,95,0;0;1-3;0;0-0;1;1-1;1;2-2;1;0-3;1;0-0;2;2-1;2;2-2;2;2-3;2;0,0
3,0,1,0,0,1111-1111-1001,96,0;0;1-3;0;0-0;1;1-1;1;0-2;1;0-3;1;0-0;2;2-1;2;2-2;2;2-3;2;0,0
3,0,1,0,0,1111-1111-1001,97,0;0;1-3;0;0-0;1;1-1;1;0-2;1;0-3;1;0-0;2;2-1;2;2-2;2;2-3;2;2,0
3,0,1,0,0,1111-1111-1001,98,0;0;1-3;0;0-0;1;1-1;1;0-2;1;0-3;1;0-0;2;2-1;2;2-2;2;2-3;2;2,0
3,0,1,0,0,1111-1111-1001,99,0;0;1-3;0;0-0;1;1-1;1;0-2;1;0-3;1;0-0;2;2-1;2;2-2;2;2-3;2;2,0
3,0,1,0,0,1111-1111-1001,100,0;0;1-3;0;0-0;1;1-1;1;0-2;1;0-3;1;0-0;2;2-1;2;2-2;2;2-3;2;2,0
3,1,1,0,1,0111-1111-1001,0,0;0;2-3;0;2-0;1;1-1;1;1-2;1;1-3;1;0-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,1,0;0;2-3;0;0-0;1;1-1;1;1-2;1;1-3;1;0-1;2;1-2;2;1-3;2;0,1
3,1,1,0,1,0111-1111-1001,2,0;0;2-3;0;0-0;1;2-1;1;1-2;1;0-3;1;0-1;2;1-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,3,0;0;2-3;0;0-0;1;2-1;1;1-2;1;0-3;1;0-1;2;1-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,4,0;0;2-3;0;0-0;1;2-1;1;1-2;1;0-3;1;0-1;2;1-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,5,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,6,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,7,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,8,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,9,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,10,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,11,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,12,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,13,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,14,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,15,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,16,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,17,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,18,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,19,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,20,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,21,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,22,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,23,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,24,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,25,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,26,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,27,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,28,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,29,0;0;2-3;0;0-0;1;2-1;1;1-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,30,0;0;2-3;0;0-0;1;2-1;1;1-2;1;0-3;1;0-1;2;1-2;2;0-3;2;0,0
3,1,1,0,1,0111-1111-1001,31,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;0-1;2;1-2;2;1-3;2;0,1
3,1,1,0,1,0111-1111-1001,32,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;0-1;2;1-2;2;1-3;2;0,1
3,1,1,0,1,0111-1111-1001,33,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;1-1;2;1-2;2;1-3;2;0,1
3,1,1,0,1,0111-1111-1001,34,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,35,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,36,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,37,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,38,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,39,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;2-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,41,0;0;2-3;0;0-0;1;2-1;1;2-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,42,0;0;2-3;0;0-0;1;2-1;1;2-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,43,0;0;2-3;0;0-0;1;2-1;1;2-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,44,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,45,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,46,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,47,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,48,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,49,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,50,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,51,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,52,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,53,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,54,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,55,0;0;2-3;0;0-0;1;2-1;1;1-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,56,0;0;2-3;0;0-0;1;2-1;1;2-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,57,0;0;2-3;0;0-0;1;2-1;1;2-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,58,0;0;2-3;0;0-0;1;2-1;1;2-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,59,0;0;2-3;0;0-0;1;2-1;1;2-2;1;1-3;1;1-1;2;1-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,60,0;0;2-3;0;0-0;1;2-1;1;2-2;1;1-3;1;1-1;2;2-2;2;1-3;2;1,1
3,1,1,0,1,0111-1111-1001,61,0;0;2-3;0;0-0;1;2-1;1;2-2;1;1-3;1;1-1;2;2-2;2;2-3;2;2,2
3,1,1,0,1,0111-1111-1001,62,0;0;2-3;0;0-0;1;2-1;1;2-2;1;2-3;1;2-1;2;2-2;2;2-3;2;2,2
3,1,1,0,1,0111-1111-1001,63,0;0;2-3;0;0-0;1;2-1;1;2-2;1;2-3;1;2-1;2;2-2;2;2-3;2;2,2
3,1,1,0,1,0111-1111-1001,64,0;0;2-3;0;0-0;1;2-1;1;2-2;1;2-3;1;2-1;2;2-2;2;2-3;2;2,2
3,1,1,0,1,0111-1111-1001,65,0;0;2-3;0;0-0;1;2-1;1;2-2;1;2-3;1;2-1;2;2-2;2;2-3;2;2,2
3,1,1,0,1,0111-1111-1001,66,0;0;2-3;0;0-0;1;2-1;1;2-2;1;2-3;1;2-1;2;2-2;2;2-3;2;2,2
3,1,1,0,1,0111-1111-1001,67,0;0;2-3;0;0-0;1;2-1;1;2-2;1;2-3;1;2-1;2;2-2;2;2-3;2;2,2
3,1,1,0,1,0111-1111-1001,68,0;0;2-3;0;0-0;1;2-1;1;2-2;1;2-3;1;2-1;2;2-2;2;2-3;2;2,2
3,1,1,0,1,0111-1111-1001,69,0;0;2-3;0;0-0;1;2-1;1;2-2;1;2-3;1;2-1;2;2-2;2;2-3;2;2,2
3,1,1,0,1,0111-1111-1001,70,0;0;2-3;0;0-0;1;2-1;1;2-2;1;2-3;1;0-1;2;2-2;2;2-3;2;2,2
