shapes_set,shape_id,target_set,closest_shape_id,edit_distance,readable_shape,step,classification,majority_vote,nca_seed
3,3,1,0,1,1111-1111-0001,40,3;0;0-0;1;1-1;1;1-2;1;0-3;1;0-0;2;1-1;2;0-2;2;0-3;2;0,0,2
3,3,1,0,1,1111-1111-0001,40,3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,3
3,3,1,0,1,1111-1111-0001,40,3;0;0-0;1;1-1;1;1-2;1;0-3;1;0-0;2;1-1;2;1-2;2;1-3;2;0,1,4
3,4,1,0,1,1111-1111-1000,40,0;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,0
3,4,1,0,1,1111-1111-1000,40,0;0;0-0;1;0-1;1;0-2;1;1-3;1;1-0;2;0-1;2;1-2;2;1-3;2;1,1,1
3,4,1,0,1,1111-1111-1000,40,0;0;0-0;1;0-1;1;0-2;1;1-3;1;1-0;2;0-1;2;0-2;2;0-3;2;1,0,2
3,4,1,0,1,1111-1111-1000,40,0;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,3
3,4,1,0,1,1111-1111-1000,40,0;0;0-0;1;0-1;1;0-2;1;1-3;1;1-0;2;0-1;2;0-2;2;1-3;2;1,0,4
3,5,1,1,0,11111-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1,0
3,5,1,1,0,11111-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1,1
3,5,1,1,0,11111-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1,2
3,5,1,1,0,11111-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1,3
3,5,1,1,0,11111-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1,4
3,6,1,1,1,01111-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-1;1;1-2;1;1-3;1;1-4;1;1,1,0
3,6,1,1,1,01111-11111,40,0;0;2-1;0;1-2;0;1-3;0;1-4;0;1-1;1;1-2;1;1-3;1;1-4;1;1,1,1
3,6,1,1,1,01111-11111,40,0;0;2-1;0;1-2;0;1-3;0;1-4;0;1-1;1;1-2;1;1-3;1;1-4;1;1,1,2
3,6,1,1,1,01111-11111,40,0;0;2-1;0;1-2;0;1-3;0;1-4;0;1-1;1;1-2;1;1-3;1;1-4;1;1,1,3
3,6,1,1,1,01111-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-1;1;1-2;1;1-3;1;1-4;1;1,1,4
3,7,1,1,1,11110-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1,1,0
3,7,1,1,1,11110-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;2-0;1;1-1;1;1-2;1;1-3;1;1,1,1
3,7,1,1,1,11110-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1,1,2
3,7,1,1,1,11110-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;2-0;1;1-1;1;1-2;1;1-3;1;1,1,3
3,7,1,1,1,11110-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1,1,4
3,8,1,1,1,11111-01111,40,1;0;1-2;0;1-3;0;1-4;0;1-0;1;2-1;1;1-2;1;1-3;1;1-4;1;1,1,0
3,8,1,1,1,11111-01111,40,1;0;1-2;0;1-3;0;1-4;0;1-0;1;2-1;1;1-2;1;1-3;1;1-4;1;1,1,1
3,8,1,1,1,11111-01111,40,1;0;1-2;0;1-3;0;1-4;0;1-0;1;2-1;1;1-2;1;1-3;1;1-4;1;1,1,2
3,8,1,1,1,11111-01111,40,1;0;1-2;0;1-3;0;1-4;0;1-0;1;2-1;1;1-2;1;1-3;1;1-4;1;1,1,3
3,8,1,1,1,11111-01111,40,1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1,4
3,9,1,1,1,11111-11110,40,0;0;1-1;0;1-2;0;1-3;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;2,1,0
3,9,1,1,1,11111-11110,40,0;0;1-1;0;1-2;0;1-3;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;2,1,1
3,9,1,1,1,11111-11110,40,0;0;1-1;0;1-2;0;1-3;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;2,1,2
3,9,1,1,1,11111-11110,40,0;0;1-1;0;1-2;0;1-3;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;2,1,3
3,9,1,1,1,11111-11110,40,0;0;1-1;0;1-2;0;1-3;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1,4
3,10,1,2,0,1111111-1010101,40,0;0;2-2;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,0
3,10,1,2,0,1111111-1010101,40,0;0;2-2;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,1
3,10,1,2,0,1111111-1010101,40,0;0;2-2;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,2
3,10,1,2,0,1111111-1010101,40,0;0;2-2;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,3
3,10,1,2,0,1111111-1010101,40,0;0;2-2;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,4
3,11,1,2,1,1111111-0010101,40,2;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,0
3,11,1,2,1,1111111-0010101,40,2;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,1
3,11,1,2,1,1111111-0010101,40,2;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,2
3,11,1,2,1,1111111-0010101,40,2;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,3
3,11,1,2,1,1111111-0010101,40,2;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,4
3,12,1,2,1,1111111-1010100,40,0;0;2-2;0;2-4;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,0
3,12,1,2,1,1111111-1010100,40,0;0;2-2;0;2-4;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,1
3,12,1,2,1,1111111-1010100,40,0;0;2-2;0;2-4;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,2
3,12,1,2,1,1111111-1010100,40,0;0;2-2;0;2-4;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,3
3,12,1,2,1,1111111-1010100,40,0;0;2-2;0;2-4;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,4
3,13,1,2,1,1111111-1000101,40,0;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,0
3,13,1,2,1,1111111-1000101,40,0;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,1
3,13,1,2,1,1111111-1000101,40,0;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,2
3,13,1,2,1,1111111-1000101,40,0;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,3
3,13,1,2,1,1111111-1000101,40,0;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,4
3,14,1,2,1,1111111-1010001,40,0;0;2-2;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,0
3,14,1,2,1,1111111-1010001,40,0;0;2-2;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,1
3,14,1,2,1,1111111-1010001,40,0;0;2-2;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,2
3,14,1,2,1,1111111-1010001,40,0;0;2-2;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,3
3,14,1,2,1,1111111-1010001,40,0;0;2-2;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,4
4,0,2,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,0
4,0,2,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,1
4,0,2,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,2
4,0,2,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,3
4,0,2,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,4
4,1,2,0,1,0111-1111-1001,40,0;0;5-3;0;0-0;1;5-1;1;5-2;1;5-3;1;0-1;2;5-2;2;5-3;2;8,5,0
4,1,2,0,1,0111-1111-1001,40,0;0;3-3;0;0-0;1;1-1;1;3-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,1
4,1,2,0,1,0111-1111-1001,40,0;0;5-3;0;0-0;1;5-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,2
4,1,2,0,1,0111-1111-1001,40,0;0;3-3;0;8-0;1;3-1;1;8-2;1;8-3;1;8-1;2;8-2;2;8-3;2;8,8,3
4,1,2,0,1,0111-1111-1001,40,0;0;5-3;0;0-0;1;5-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,4
4,2,2,0,1,1110-1111-1001,40,0;0;0-3;0;5-0;1;0-1;1;0-2;1;0-3;1;5-0;2;0-1;2;0-2;2;0,0,0
4,2,2,0,1,1110-1111-1001,40,0;0;0-3;0;3-0;1;0-1;1;3-2;1;3-3;1;3-0;2;0-1;2;0-2;2;0,0,1
4,2,2,0,1,1110-1111-1001,40,0;0;0-3;0;5-0;1;0-1;1;0-2;1;0-3;1;5-0;2;0-1;2;0-2;2;0,0,2
4,2,2,0,1,1110-1111-1001,40,0;0;8-3;0;3-0;1;8-1;1;8-2;1;8-3;1;1-0;2;8-1;2;8-2;2;8,8,3
4,2,2,0,1,1110-1111-1001,40,0;0;0-3;0;5-0;1;0-1;1;0-2;1;0-3;1;5-0;2;0-1;2;0-2;2;0,0,4
4,3,2,0,1,1111-1111-0001,40,3;0;0-0;1;1-1;1;1-2;1;1-3;1;0-0;2;1-1;2;1-2;2;1-3;2;0,1,0
4,3,2,0,1,1111-1111-0001,40,3;0;0-0;1;1-1;1;1-2;1;0-3;1;0-0;2;1-1;2;1-2;2;0-3;2;0,0,1
4,3,2,0,1,1111-1111-0001,40,3;0;0-0;1;1-1;1;1-2;1;0-3;1;0-0;2;1-1;2;1-2;2;0-3;2;0,0,2
4,3,2,0,1,1111-1111-0001,40,3;0;0-0;1;1-1;1;1-2;1;0-3;1;0-0;2;1-1;2;1-2;2;1-3;2;0,1,3
4,3,2,0,1,1111-1111-0001,40,3;0;0-0;1;1-1;1;1-2;1;0-3;1;0-0;2;1-1;2;1-2;2;0-3;2;0,0,4
4,4,2,0,1,1111-1111-1000,40,0;0;0-0;1;0-1;1;0-2;1;1-3;1;1-0;2;0-1;2;0-2;2;1-3;2;1,0,0
4,4,2,0,1,1111-1111-1000,40,0;0;0-0;1;0-1;1;0-2;1;1-3;1;1-0;2;0-1;2;0-2;2;1-3;2;1,0,1
4,4,2,0,1,1111-1111-1000,40,0;0;0-0;1;0-1;1;0-2;1;1-3;1;1-0;2;0-1;2;0-2;2;1-3;2;1,0,2
4,4,2,0,1,1111-1111-1000,40,0;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,3
4,4,2,0,1,1111-1111-1000,40,0;0;0-0;1;0-1;1;0-2;1;1-3;1;1-0;2;0-1;2;0-2;2;1-3;2;1,0,4
4,5,2,1,0,11111-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1,0
4,5,2,1,0,11111-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1,1
4,5,2,1,0,11111-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1,2
4,5,2,1,0,11111-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1,3
4,5,2,1,0,11111-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1,4
4,6,2,1,1,01111-11111,40,0;0;4-1;0;1-2;0;1-3;0;1-4;0;1-1;1;1-2;1;1-3;1;1-4;1;1,1,0
4,6,2,1,1,01111-11111,40,0;0;4-1;0;1-2;0;1-3;0;1-4;0;1-1;1;1-2;1;1-3;1;1-4;1;1,1,1
4,6,2,1,1,01111-11111,40,0;0;4-1;0;1-2;0;1-3;0;1-4;0;1-1;1;1-2;1;1-3;1;1-4;1;1,1,2
4,6,2,1,1,01111-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-1;1;1-2;1;1-3;1;1-4;1;1,1,3
4,6,2,1,1,01111-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-1;1;1-2;1;1-3;1;1-4;1;1,1,4
4,7,2,1,1,11110-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;4-0;1;1-1;1;1-2;1;1-3;1;1,1,0
4,7,2,1,1,11110-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;4-0;1;1-1;1;1-2;1;1-3;1;1,1,1
4,7,2,1,1,11110-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;4-0;1;1-1;1;1-2;1;1-3;1;1,1,2
4,7,2,1,1,11110-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;4-0;1;1-1;1;1-2;1;1-3;1;1,1,3
4,7,2,1,1,11110-11111,40,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1,1,4
4,8,2,1,1,11111-01111,40,1;0;1-2;0;1-3;0;1-4;0;1-0;1;4-1;1;1-2;1;1-3;1;1-4;1;1,1,0
4,8,2,1,1,11111-01111,40,1;0;1-2;0;1-3;0;1-4;0;1-0;1;3-1;1;1-2;1;1-3;1;1-4;1;1,1,1
4,8,2,1,1,11111-01111,40,1;0;1-2;0;1-3;0;1-4;0;1-0;1;4-1;1;1-2;1;1-3;1;1-4;1;1,1,2
4,8,2,1,1,11111-01111,40,1;0;1-2;0;1-3;0;1-4;0;1-0;1;5-1;1;1-2;1;1-3;1;1-4;1;1,1,3
4,8,2,1,1,11111-01111,40,1;0;1-2;0;1-3;0;1-4;0;1-0;1;3-1;1;1-2;1;1-3;1;1-4;1;1,1,4
4,9,2,1,1,11111-11110,40,0;0;1-1;0;1-2;0;1-3;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;4,1,0
4,9,2,1,1,11111-11110,40,0;0;1-1;0;1-2;0;1-3;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;4,1,1
4,9,2,1,1,11111-11110,40,0;0;1-1;0;1-2;0;1-3;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1,2
4,9,2,1,1,11111-11110,40,0;0;1-1;0;1-2;0;1-3;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;5,1,3
4,9,2,1,1,11111-11110,40,0;0;1-1;0;1-2;0;1-3;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1,4
4,10,2,2,0,1111111-1010101,40,0;0;2-2;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,0
4,10,2,2,0,1111111-1010101,40,0;0;2-2;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,1
4,10,2,2,0,1111111-1010101,40,0;0;2-2;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,2
4,10,2,2,0,1111111-1010101,40,0;0;2-2;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,3
4,10,2,2,0,1111111-1010101,40,0;0;2-2;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,4
4,11,2,2,1,1111111-0010101,40,2;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,0
4,11,2,2,1,1111111-0010101,40,2;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,1
4,11,2,2,1,1111111-0010101,40,2;0;2-4;0;2-6;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,2
4,11,2,2,1,1111111-0010101,40,2;0;2-4;0;2-6;0;2-0;1;3-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,3
4,11,2,2,1,1111111-0010101,40,2;0;5-4;0;5-6;0;2-0;1;4-1;1;4-2;1;5-3;1;5-4;1;5-5;1;5-6;1;2,5,4
4,12,2,2,1,1111111-1010100,40,0;0;2-2;0;2-4;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;4,2,0
4,12,2,2,1,1111111-1010100,40,0;0;2-2;0;2-4;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,1
4,12,2,2,1,1111111-1010100,40,0;0;5-2;0;5-4;0;5-0;1;5-1;1;5-2;1;5-3;1;5-4;1;5-5;1;4-6;1;4,5,2
4,12,2,2,1,1111111-1010100,40,0;0;2-2;0;2-4;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,3
4,12,2,2,1,1111111-1010100,40,0;0;2-2;0;2-4;0;2-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2-5;1;2-6;1;2,2,4
4,13,2,2,1,1111111-1000101,40,0;0;3-4;0;5-6;0;5-0;1;3-1;1;3-2;1;3-3;1;3-4;1;5-5;1;5-6;1;5,3,0
4,13,2,2,1,1111111-1000101,40,0;0;3-4;0;5-6;0;5-0;1;3-1;1;3-2;1;3-3;1;3-4;1;5-5;1;5-6;1;5,3,1
4,13,2,2,1,1111111-1000101,40,0;0;3-4;0;5-6;0;5-0;1;3-1;1;4-2;1;4-3;1;4-4;1;5-5;1;5-6;1;5,5,2
4,13,2,2,1,1111111-1000101,40,0;0;3-4;0;3-6;0;5-0;1;3-1;1;3-2;1;4-3;1;4-4;1;3-5;1;5-6;1;5,3,3
4,13,2,2,1,1111111-1000101,40,0;0;3-4;0;5-6;0;5-0;1;3-1;1;4-2;1;4-3;1;4-4;1;5-5;1;5-6;1;5,5,4
4,14,2,2,1,1111111-1010001,40,0;0;5-2;0;5-6;0;3-0;1;5-1;1;5-2;1;5-3;1;3-4;1;3-5;1;3-6;1;3,3,0
4,14,2,2,1,1111111-1010001,40,0;0;5-2;0;5-6;0;3-0;1;5-1;1;5-2;1;5-3;1;2-4;1;2-5;1;3-6;1;3,5,1
4,14,2,2,1,1111111-1010001,40,0;0;5-2;0;5-6;0;3-0;1;5-1;1;5-2;1;5-3;1;4-4;1;4-5;1;4-6;1;3,5,2
4,14,2,2,1,1111111-1010001,40,0;0;5-2;0;3-6;0;3-0;1;5-1;1;5-2;1;3-3;1;4-4;1;4-5;1;4-6;1;3,3,3
4,14,2,2,1,1111111-1010001,40,0;0;5-2;0;5-6;0;3-0;1;5-1;1;5-2;1;5-3;1;3-4;1;4-5;1;3-6;1;3,5,4
4,15,2,3,0,1111-1001,40,0;0;3-3;0;3-0;1;3-1;1;3-2;1;3-3;1;3,3,0
4,15,2,3,0,1111-1001,40,0;0;3-3;0;3-0;1;3-1;1;3-2;1;3-3;1;3,3,1
4,15,2,3,0,1111-1001,40,0;0;3-3;0;3-0;1;3-1;1;3-2;1;3-3;1;3,3,2
4,15,2,3,0,1111-1001,40,0;0;3-3;0;3-0;1;3-1;1;3-2;1;3-3;1;5,3,3
4,15,2,3,0,1111-1001,40,0;0;3-3;0;3-0;1;3-1;1;3-2;1;3-3;1;3,3,4
4,16,2,3,1,1111-0001,40,3;0;3-0;1;4-1;1;4-2;1;3-3;1;3,3,0
4,16,2,3,1,1111-0001,40,3;0;3-0;1;4-1;1;4-2;1;3-3;1;3,3,1
4,16,2,3,1,1111-0001,40,3;0;3-0;1;4-1;1;4-2;1;4-3;1;3,4,2
4,16,2,3,1,1111-0001,40,3;0;3-0;1;4-1;1;4-2;1;4-3;1;3,4,3
4,16,2,3,1,1111-0001,40,3;0;3-0;1;4-1;1;4-2;1;3-3;1;3,3,4
4,17,2,3,1,1111-1000,40,0;0;3-0;1;3-1;1;4-2;1;4-3;1;4,4,0
4,17,2,3,1,1111-1000,40,0;0;3-0;1;3-1;1;3-2;1;4-3;1;4,3,1
4,17,2,3,1,1111-1000,40,0;0;3-0;1;3-1;1;4-2;1;4-3;1;4,4,2
4,17,2,3,1,1111-1000,40,0;0;3-0;1;3-1;1;3-2;1;4-3;1;4,3,3
4,17,2,3,1,1111-1000,40,0;0;3-0;1;3-1;1;4-2;1;4-3;1;4,4,4
4,18,2,4,0,1111,40,0;0;4-1;0;4-2;0;4-3;0;4,4,0
4,18,2,4,0,1111,40,0;0;4-1;0;4-2;0;4-3;0;4,4,1
4,18,2,4,0,1111,40,0;0;4-1;0;4-2;0;4-3;0;4,4,2
4,18,2,4,0,1111,40,0;0;4-1;0;4-2;0;4-3;0;4,4,3
4,18,2,4,0,1111,40,0;0;4-1;0;4-2;0;4-3;0;4,4,4
4,19,2,4,1,111,40,0;0;4-1;0;4-2;0;4,4,0
4,19,2,4,1,111,40,0;0;4-1;0;4-2;0;4,4,1
4,19,2,4,1,111,40,0;0;4-1;0;4-2;0;4,4,2
4,19,2,4,1,111,40,0;0;4-1;0;4-2;0;4,4,3
4,19,2,4,1,111,40,0;0;4-1;0;4-2;0;4,4,4
4,20,2,5,0,11111-10101,40,0;0;5-2;0;5-4;0;5-0;1;5-1;1;5-2;1;5-3;1;5-4;1;5,5,0
4,20,2,5,0,11111-10101,40,0;0;5-2;0;5-4;0;5-0;1;5-1;1;5-2;1;5-3;1;5-4;1;5,5,1
4,20,2,5,0,11111-10101,40,0;0;5-2;0;5-4;0;5-0;1;5-1;1;5-2;1;5-3;1;5-4;1;5,5,2
4,20,2,5,0,11111-10101,40,0;0;5-2;0;5-4;0;5-0;1;5-1;1;5-2;1;5-3;1;5-4;1;5,5,3
4,20,2,5,0,11111-10101,40,0;0;5-2;0;5-4;0;5-0;1;5-1;1;5-2;1;5-3;1;5-4;1;5,5,4
4,21,2,5,1,11111-00101,40,2;0;5-4;0;5-0;1;3-1;1;3-2;1;5-3;1;5-4;1;5,5,0
4,21,2,5,1,11111-00101,40,2;0;5-4;0;5-0;1;3-1;1;3-2;1;5-3;1;5-4;1;5,5,1
4,21,2,5,1,11111-00101,40,2;0;5-4;0;5-0;1;4-1;1;4-2;1;5-3;1;5-4;1;5,5,2
